"UTLA20CD","UTLA20NM","LSOA11CD","LSOA11NM","NOMIS Code"
"E06000059","Dorset","E01020561","Weymouth and Portland 002E",1249922591
"E06000059","Dorset","E01020562","Weymouth and Portland 009A",1249922592
"E06000059","Dorset","E01020563","Weymouth and Portland 008A",1249922593
"E06000059","Dorset","E01020564","Weymouth and Portland 009B",1249922594
"E06000059","Dorset","E01020565","Weymouth and Portland 009C",1249922595
"E06000059","Dorset","E01020566","Weymouth and Portland 009D",1249922596
"E06000059","Dorset","E01020569","Weymouth and Portland 008D",1249922597
"E06000059","Dorset","E01020570","Weymouth and Portland 001C",1249922598
"E06000059","Dorset","E01020571","Weymouth and Portland 001D",1249922599
"E06000059","Dorset","E01020572","Weymouth and Portland 005A",1249922600
"E06000059","Dorset","E01020573","Weymouth and Portland 005B",1249922601
"E06000059","Dorset","E01020574","Weymouth and Portland 003A",1249922602
"E06000059","Dorset","E01020575","Weymouth and Portland 003B",1249922603
"E06000059","Dorset","E01020576","Weymouth and Portland 003C",1249922604
"E06000059","Dorset","E01020577","Weymouth and Portland 005C",1249922605
"E06000059","Dorset","E01020578","Weymouth and Portland 005D",1249922606
"E06000059","Dorset","E01020579","Weymouth and Portland 003D",1249922607
"E06000059","Dorset","E01020580","Weymouth and Portland 003E",1249922608
"E06000059","Dorset","E01020581","Weymouth and Portland 004E",1249922609
"E06000059","Dorset","E01020582","Weymouth and Portland 004F",1249922610
"E06000059","Dorset","E01020583","Weymouth and Portland 006A",1249922611
"E06000059","Dorset","E01020584","Weymouth and Portland 006B",1249922612
"E06000059","Dorset","E01020585","Weymouth and Portland 006C",1249922613
"E06000059","Dorset","E01020586","Weymouth and Portland 007A",1249922614
"E06000059","Dorset","E01020587","Weymouth and Portland 007B",1249922615
"E06000059","Dorset","E01020588","Weymouth and Portland 007C",1249922616
"E06000059","Dorset","E01020589","Weymouth and Portland 007D",1249922617
"E06000059","Dorset","E01032641","West Dorset 009F",1249934419
"E06000059","Dorset","E01032642","West Dorset 001H",1249934420
"E06000059","Dorset","E01032643","West Dorset 009G",1249934421
"E06000059","Dorset","E01032644","West Dorset 009H",1249934422
"E06000059","Dorset","E01032645","West Dorset 009I",1249934423
"E06000059","Dorset","E01033154","North Dorset 006E",1249934892
"E06000059","Dorset","E01033156","North Dorset 002E",1249934893
"E06000059","Dorset","E01020398","East Dorset 005B",1249922434
"E06000059","Dorset","E01020498","West Dorset 006A",1249922532
"E06000059","Dorset","E01020499","West Dorset 006B",1249922533
"E06000059","Dorset","E01020500","West Dorset 006C",1249922534
"E06000059","Dorset","E01020501","West Dorset 006D",1249922535
"E06000059","Dorset","E01020502","West Dorset 008A",1249922536
"E06000059","Dorset","E01020399","East Dorset 011B",1249922435
